iter	Logloss
0	0.5770516303
1	0.5121519478
2	0.4583317977
3	0.4277517922
4	0.4108195096
5	0.3903295789
6	0.3656028321
7	0.349597064
8	0.3384686665
9	0.3288143483
10	0.318948815
11	0.3082309651
12	0.2997675129
13	0.2905886253
14	0.2795446024
15	0.2721257114
16	0.2683824024
17	0.2633929127
18	0.2571565329
19	0.2525375973
20	0.2473647642
21	0.2421119943
22	0.2363705014
23	0.2325807026
24	0.2304470386
25	0.2236760633
26	0.2157425036
27	0.2095718907
28	0.208948106
29	0.2017377764
30	0.1978994047
31	0.1948158606
32	0.190693947
33	0.1885098466
34	0.185136232
35	0.1843185369
36	0.1787024325
37	0.1757921845
38	0.1738915042
39	0.170232248
40	0.1651497874
41	0.1595355631
42	0.154509751
43	0.1507293658
44	0.1462723976
45	0.1437400934
46	0.1397229354
47	0.1387426831
48	0.1359897375
49	0.1340086419
50	0.1334194647
51	0.1306996452
52	0.1269214225
53	0.1255226058
54	0.1201351246
55	0.1182680726
56	0.1168357412
57	0.1134026276
58	0.1122850406
59	0.1109901781
60	0.1100158709
61	0.1069081536
62	0.1049024969
63	0.1046072105
64	0.1019095407
65	0.1009422439
66	0.09983825865
67	0.09707217177
68	0.09615585759
69	0.0960318569
70	0.09591428307
71	0.09453099847
72	0.09213099469
73	0.09047309617
74	0.08806241987
75	0.08788751512
76	0.08705644981
77	0.08480042443
78	0.08319100668
79	0.08306758751
80	0.08210819441
81	0.08083197194
82	0.08042282151
83	0.08026093185
84	0.07874864638
85	0.07796006063
86	0.07707095654
87	0.07544650523
88	0.07444980288
89	0.07416140395
90	0.07368571546
91	0.0734620049
92	0.07268342471
93	0.07106803358
94	0.06948774174
95	0.06936638989
96	0.06829977473
97	0.06733790018
98	0.0662118361
99	0.06529224152
100	0.06492026143
101	0.06408637994
102	0.06352360468
103	0.06301640324
104	0.0627010001
105	0.06169952291
106	0.06099405179
107	0.06044755798
108	0.06006435286
109	0.05905838877
110	0.05897176388
111	0.05874857145
112	0.05815915249
113	0.05708227362
114	0.05669846237
115	0.05584197675
116	0.05530116509
117	0.05462642052
118	0.05375970461
119	0.05364077304
120	0.05320822857
121	0.05215821312
122	0.05144073907
123	0.05040708239
124	0.04974347923
125	0.04941451562
126	0.04921113871
127	0.04836184532
128	0.04760605671
129	0.04702882099
130	0.04617616447
131	0.0460863144
132	0.04582874714
133	0.04546607212
134	0.04462547501
135	0.04421694864
136	0.0441780157
137	0.04375559046
138	0.04315764392
139	0.04283011831
140	0.04245660214
141	0.0422382822
142	0.04220993849
143	0.04145915233
144	0.04075334643
145	0.04057307291
146	0.04001621351
147	0.03963868322
